Welcome in MecaWeb-app,Welcome in Copo-app
Forum,Forum
Shop,Shop
Partners,Partners
Graph,Graph
Cuts,Cuts
Speed of a screw/nut transmission,Speed of a screw/nut transmission
Torque needed for rotation,Torque needed for rotation
Speed curve of a movement,Speed curve of a movement
Stepper motors,Stepper motors
Length of a belt,Length of a belt
Arc-boutement,Arc-boutement
Buckling,Buckling
Flexion,Flexion
Fits,Fits
Improve your joints,Improve your joints
Useful tools,Useful tools
Transmission elements,Transmission elements
Structure calculations,Structure calculations
Design more efficiently,Design more efficiently
Bearing life,Bearing lifetime
Threads,Common Thread size and hole
Ressources,Ressources
This is an alpha release, please contact me to report bugs or request features ! No need to write a big email with formalities, just write your problem !,This is an alpha release, please contact me to report bugs or request features ! No need to write a big email with formalities, just write your problem !